Sequence,Time,File,RangeOffset,RangeLength,Text,Language,Type
1,17,"extension-output-MattiaConsiglio.vs-code-recorder-#1-VS Code Recorder",0,0,"7:21:42 PM [info] Activating VS Code Recorder\n",Log,tab
2,184,"extension-output-MattiaConsiglio.vs-code-recorder-#1-VS Code Recorder",46,0,"7:21:44 PM [info] Recording started\n",Log,content
3,6051,"README.md",0,0,"## Instructions\n\n1. Install dependencies:\n   ```\n   npm install\n   ```\n\n2. Run tests for all exercises:\n   ```\n   npm test\n   ```\n\n3. Run tests by difficulty level:\n   ```\n   npm run test:easy\n   npm run test:medium\n   npm run test:hard\n   ```\n\n4. Run tests for a specific file:\n   ```\n   npx jest tests/easy/ex1.test.js\n   ```\n\nComplete the functions, run the test, and make sure they all pass. Then zip up the entire folder and send it to me via discord.\n",markdown,tab
4,74359,"exercises/medium/ex3-resolution-checker.js",0,0,"function checkResolution(width, height) {\n  // Return ""landscape"" if width is greater than height\n  // Return ""portrait"" if height is greater than or equal to width\n}\n\nmodule.exports = checkResolution;\n",javascript,tab
5,75207,"exercises/medium/ex9-reverse-string.js",0,0,"function reverseString(str) {\n  /* take a string as input and return it reversed Example: ""hello"" -> ""olleh"" */\n}\n\nmodule.exports = reverseString;\n",javascript,tab
